KEY                                FIRST AUTHOR             YEAR   TITLE
lipset1959                         Lipset                   1959   Some Social Requisites of Democracy: Economic Development and 
littlefarrell2021                  Little                   2021   C30The Party System: At a Critical Juncture
liuetal2014                        Liu                      2014   The Trial of Li Zhuang: Chinese Lawyers’ Collective Action aga
lodgeetal1989                      Lodge                    1989   An Impression-Driven Model of Candidate Evaluation
lodgetaber2005                     Lodge                    2005   The Automaticity of Affect for Political Leaders, Groups, and 
losurdo2021                        Losurdo                  2021   COVID-19 vs. Constitution; Limited Government's Unlimited Resp
louisdejoy2023                     ?                        2023   Louis DeJoy
lowanderogowski2021                Lowande                  2021   Executive Power in Crisis
lowndes2017                        Lowndes                  2017   Populism in the United States
luban2020                          Luban                    2020   What Is Spontaneous Order?
luhrmannetal2020                   Lührmann                 2020   Constraining Governments: New Indices of Vertical, Horizontal,
lyonsfowler2021                    Lyons                    2021   Is It Still a Mandate If We Don’t Enforce It? The Politics of 
maccarthaigh2021                   MacCarthaigh             2021   C19Parliamentary Accountability and Reform
machostadleretal1997               Macho-Stadler            1997   An introduction to the economics of information: incentives an
macrae1977                         MacRae                   1977   A Political Model of the Business Cycle
maggettietal2025                   Maggetti                 2025   12: Trust, populism, and the independence of regulatory agenci
mahoneythelen2009                  Mahoney                  2009   Explaining Institutional Change: Ambiguity, Agency, and Power
makhnietal2021                     Makhni                   2021   Hand Hygiene Compliance Rate During the COVID-19 Pandemic
malhotraetal2019                   Malhotra                 2019   Does Private Regulation Preempt Public Regulation?
malinowskind                       Malinowski               ----   Crime and custom in savage society
mammone2009                        Mammone                  2009   <no title>
mandelveetil2020                   Mandel                   2020   The Economic Cost of COVID Lockdowns: An Out-of-Equilibrium An
mangel1985                         Mangel                   1985   Decision and control in uncertain resource systems
manisnd                            Manis                    ----   Democracy in America
mansfieldetal2000                  Mansfield                2000   Free to Trade: Democracies, Autocracies, and International Tra
mansfieldetal2000a                 Mansfield                2000   Free to Trade: Democracies, Autocracies, and International Tra
mantena2020                        Mantena                  2020   Competing Theories of Nonviolent Politics
mao2021                            Mao                      2021   Political institutions, state capacity, and crisis management:
mapnationalrisknd                  ?                        ----   Map | National Risk Index
marcosmarne2020                    Marcos-Marne             2020   <no title>: by Barry Eichengreen, New York, Oxford University 
marcusmackuen1993                  Marcus                   1993   Anxiety, Enthusiasm, and the Vote: The Emotional Underpinnings
margalit2019                       Margalit                 2019   Political Responses to Economic Shocks
marquez2024                        Marquez                  2024   ‘The enemy from within’: Trump calls Democrats more dangerous 
marsh2021                          Marsh                    2021   C32The (Un)Changing Irish Voter
martin2021                         Martin                   2021   C21The Political Executive
martineztorron2021                 Martínez-Torrón          2021   COVID-19 and Religious Freedom: Some Comparative Perspectives
masonjaros1969                     Mason                    1969   Alienation and Support for Demagogues
mattioli2017                       Mattioli                 2017   Developing an index of vulnerability to motor fuel price incre
mattiolietal2019                   Mattioli                 2019   Vulnerability to motor fuel price increases: Socio-spatial pat
maydarodrik2005                    Mayda                    2005   Why are some people (and countries) more protectionist than ot
mccubbins1985                      McCubbins                1985   The Legislative Design of Regulatory Structure
mcdermott2002                      McDermott                2002   E <span style="font-variant:small-caps;">XPERIMENTAL</span> M 
mcgrawpinney2011                   McGraw                   2011   The Effects of General and Domain-Specific Expertise on Politi
mcintyre2021                       McIntyre                 2021   C40Regulating the Information Society: Data Protection and Ire
melitz2003                         Melitz                   2003   The Impact of Trade on Intra-Industry Reallocations and Aggreg
meltzerrichard1981                 Meltzer                  1981   A Rational Theory of the Size of Government
milgrometal1990                    Milgrom                  1990   The Role of Institutions in the Revival of Trade: The Law Merc
milgrometal1990a                   Milgrom                  1990   The Role of Institutions in the Revival of Trade: The Law Merc
millnerheal2014                    Millner                  2014   Resolving Intertemporal Conflicts: Economics vs Politics
moe1990                            Moe                      1990   Political Institutions: The Neglected Side of the Story
mortonhinchliffe2020               Morton                   2020   The potential for the unintentional loss of tax losses in the 
motolinia2021                      Motolinia                2021   Electoral Accountability and Particularistic Legislation: Evid
mounk2018                          Mounk                    2018   The Undemocratic Dilemma
muddend                            Mudde                    ----   Populism: An Ideational Approach | The Oxford Handbook of Popu
muller1997                         Müller                   1997   Inside the Black Box: A Confrontation of Party Executive Behav
mullinhansen2023                   Mullin                   2023   Local News and the Electoral Incentive to Invest in Infrastruc
murphy2021                         Murphy                   2021   C20Bicameralism in a Unitary State
murphy2021a                        Murphy                   2021   C38Open Government
murray2021                         Murray                   2021   Economic and Social Rights in Ireland
naiduetal2021                      Naidu                    2021   Social Origins of Dictatorships: Elite Networks and Political 
nationsnd                          Nations                  ----   Background | International Chernobyl Disaster Remembrance Day
negrettosancheztalanquer2021       Negretto                 2021   Constitutional Origins and Liberal Democracy: A Global Analysi
neumann1938                        Neumann                  1938   The Rule of the Demagogue
newzealandministryofforeig2024     New Zealand Ministry o   2024   Ireland's Green Transition for Businesses – November 2024
nichter2008                        Nichter                  2008   Vote Buying or Turnout Buying? Machine Politics and the Secret
norrisbyrne2021                    Norris                   2021   C29The Political Economy of Housing in Ireland
northweingast1989                  North                    1989   Constitutions and Commitment: The Evolution of Institutions Go
northweingast1989a                 North                    1989   Constitutions and Commitment: The Evolution of Institutions Go
northweingast1989b                 North                    1989   Constitutions and Commitment: The Evolution of Institutions Go
norton1989                         Norton                   1989   Intergenerational equity and environmental decisions: A model 
novaesschiumerini2022              Novaes                   2022   Commodity Shocks and Incumbency Effects
nugrohonegara2020                  Nugroho                  2020   Urgent Need to Strengthen State Capacity: Learning from Indone
oates2002                          Oates                    2002   Fiscal and Regulatory Competition: Theory and Evidence
obradovicetal2020                  Obradović                2020   Understanding the psychological appeal of populism
obrennan2021                       O’Brennan                2021   C9Ireland and European Governance
odonnell2021                       O’Donnell                2021   C15Penal Culture in Ireland
oecd2023                           OECD                     2023   Scaling Up Adaptation Finance in Developing Countries: Challen
oecd2024                           OECD                     2024   Ireland’s strategy for financing climate adaptation and reachi
ogataetal1984                      Ogata                    1984   Mortality among Japanese Zen priests.
okane2020                          O'Kane                   2020   Trump said coronavirus "affects virtually nobody," as U.S. sur
olsonnd                            Olson                    ----   The Logic of Collective Action
openurlconnectionebscond           ?                        ----   OpenURL Connection - EBSCO
osnabruggeetal2021                 Osnabrügge               2021   Playing to the Gallery: Emotive Rhetoric in Parliaments
ostiguynd                          Ostiguy                  ----   Populism: A Socio-Cultural Approach | The Oxford Handbook of P
ostromnd                           Ostrom                   ----   Governing the Commons: The Evolution of Institutions for Colle
oxhorn1998                         Oxhorn                   1998   The Social Foundations of Latin America’s Recurrent Populism: 
paglayan2021                       Paglayan                 2021   The Non-Democratic Roots of Mass Education: Evidence from 200 
paketal2021                        Pak                      2021   Does High Public Trust Amplify Compliance with Stringent COVID
parameswaranetal2021               Parameswaran             2021   Bargaining and Strategic Voting on Appellate Courts
patapan2019                        Patapan                  2019   On Populists and Demagogues
pateletal2023                      Patel                    2023   Trust and Regulation: Assuring Scientific Independence in the 
pearce1987                         Pearce                   1987   Foundations of an ecological economics
peco401041nd                       ?                        ----   PECO 40104 1 (Winter 2025) Political Economy III: Advanced Top
penn2008                           Penn                     2008   Citizenship versus Ethnicity: The Role of Institutions in Shap
penn2009                           Penn                     2009   A Model of Farsighted Voting
pennycookrand2019                  Pennycook                2019   Lazy, not biased: Susceptibility to partisan fake news is bett
persson2002                        Persson                  2002   Do Political Institutions Shape Economic Policy?
perssontabellinind                 Persson                  ----   Constitutions and Economic Policy
pierson2000                        Pierson                  2000   Increasing Returns, Path Dependence, and the Study of Politics
planetaryspectersracend            ?                        ----   Planetary Specters : Race, Migration, and Climate Change in th
plantsetal2014                     Plants                   2014   Factoring the Costs of Severe Nuclear Accidents into Backfit D
plotz2000                          Plotz                    2000   Crowd Power: Chartism, Carlyle, and the Victorian Public Spher
politicalimaginariestwentind       ?                        ----   Political Imaginaries in Twentieth-Century India - Goswami, Ma
portaportos2024                    Porta                    2024   Chapter 23: Populism and social movements
posner2004                         Posner                   2004   The Political Salience of Cultural Difference: Why Chewas and 
posnersunstein2015                 Posner                   2015   Institutional Flip-Flops
prioretal2023                      Prior                    2023   People are less myopic about future than past collective outco
provisionalcovid19nd               ?                        ----   Provisional COVID-19 Deaths by Sex and Age | Data | Centers fo
pulejoquerubinnd                   Pulejo                   ----   Electoral Concerns Reduce Restrictive Measures During the COVI
putnametal1994                     Putnam                   1994   Making Democracy Work : Civic Traditions in Modern Italy
radroy2021                         Rad                      2021   Deliberation, Single-Peakedness, and Coherent Aggregation
rauh2018                           Rauh                     2018   The O-ring theory of the firm
rawls1999                          Rawls                    1999   A theory of justice
readlessonslearnednd               ?                        ----   Read "Lessons Learned from the Fukushima Nuclear Accident for 
reidy2021                          Reidy                    2021   C23Form over Function: The Strange Paradox of Local Government
remarkspresidenttrumpnd            ?                        ----   Remarks by President Trump, Vice President Pence, and Members 
riker1980                          Riker                    1980   Implications from the Disequilibrium of Majority Rule for the 
riosfigueroashenbayh2025           Ríos-Figueroa            2025   Courts in the Global South
roberts2017                        Roberts                  2017   Populism and Political Parties
robertsondias2020                  Robertson                2020   United Methodist Church Announces Plan to Split Over Same-Sex 
robinson2020                       Robinson                 2020   COVID-19 and Uncertainties in the Value Per Statistical Life
rodrik2018                         Rodrik                   2018   Is Populism Necessarily Bad Economics?
rohacetal2017                      Rohac                    2017   The wisdom of demagogues: institutions, corruption and support
rokeach1973                        Rokeach                  1973   The nature of human values
romerrosenthal1978                 Romer                    1978   Political Resource Allocation, Controlled Agendas, and the Sta
romerrosenthal1978a                Romer                    1978   Political resource allocation, controlled agendas, and the sta
rosecnn2023                        Rose                     2023   261 Georgia congregations leave the United Methodist Church ov
rosenfeldwallace2024               Rosenfeld                2024   Information Politics and Propaganda in Authoritarian Societies
rothstein2015                      Rothstein                2015   The Chinese Paradox of High Growth and Low Quality of Governme
routledgehandbookcomparatind       ?                        ----   Routledge Handbook of Comparative Political Institutions - 1st
rubin2013                          Rubin                    2013   Organizing for Insurgency: Intraparty Organization and the Dev
rugaber2024                        Rugaber                  2024   Why Trump and the Federal Reserve Could Clash
ruth1973                           Ruth                     1973   A Serious Look at Consciousness-Raising
rutland2022                        Rutland                  2022   Chapter 8: Resource nationalism: risks and rewards
salmashitia2019                    Salma Shitia             2019   Amidst Climate Protesets, Climate Refugee Remains Undefined
salmelaschevend                    Salmela                  ----   Collective Emotions
salurantekristanto2022             Salurante                2022   Church as an Eschatological Community and Worship Service in t
sametseond                         Samet                    ----   The Financial Costs of the Chernobyl Nuclear Power Plant Disas
sandler1999                        Sandler                  1999   Collective action: theory and applications
scartascinietal2013                Scartascini              2013   Political Institutions, Intertemporal Cooperation, and the Qua
schmemanntimes1986                 Schmemann                1986   SOVIET ANNOUNCES NUCLEAR ACCIDENT AT ELECTRIC PLANT
schmitter1974                      Schmitter                1974   Still the Century of Corporatism?
schmucktribastone2020              Schmuck                  2020   Muslims Take Action. How Exposure to Anti-Islamic Populist Pol
schnakenbergturnernd               Schnakenberg             ----   Formal Theories of Special Interest Influence
schragger2011                      Schragger                2011   Democracy and Debt Essay
schwartz2012                       Schwartz                 2012   Compensating for the ‘Authoritarian Advantage’ in Crisis Respo
scott2020                          Scott                    2020   Seeing like a state: how certain schemes to improve the human 
scott2021                          Scott                    2021   C37The Politics of Regulation in Ireland
seaind                             SEAI                     ----   Ireland's Energy Targets | SEAI
sen1970                            Sen                      1970   The Impossibility of a Paretian Liberal
sen2010                            Sen                      2010   Inequality reexamined
sen2017                            Sen                      2017   Collective Choice and Social Welfare: An Expanded Edition
shalhopegoldbergnd                 Shalhope                 ----   Washington County, Paul Bourke and Donald DeBats
shepsle1992                        Shepsle                  1992   Discretion, Institutions, and the Problem of Government Commit
shepsle1992a                       Shepsle                  1992   Discretion, Institutions, and the Problem of Government Commit
shepslebonchek1997                 Shepsle                  1997   Analyzing politics: rationality, behavior, and institutions
shepsleweingast1981                Shepsle                  1981   Political Preferences for the Pork Barrel: A Generalization
sherbinin2020                      Sherbinin                2020   Climate Impacts as Drivers of Migration
shilliamspencend                   Shilliam                 ----   Race, Racism, and the Crisis of Democracy in Political Science
sidaniusnd                         Sidanius                 ----   Political Sophistication and Political Deviance: A Structural 
sidneyashapiro1994                 Sidney A. Shapiro        1994   Political Oversight and the Deterioration of Regulatory Policy
singh2024                          Singh                    2024   The Politics of Contagion: States, Societies, and the Control 
sloanetal2000                      Sloan                    2000   Should Physicians Prescribe Religious Activities?
slomp1998                          Slomp                    1998   From Genus to Species: The Unravelling of Hobbesian Glory
soherrhadwiger1998                 Soherr-Hadwiger          1998   Military Construction Policy: A Test of Competing Explanations
solow1973                          Solow                    1973   Intergenerational equity and exhaustible resources
sovietpresscoveragend              ?                        ----   Soviet press coverage of the Chernobyl accident - ProQuest
stateafterstatism2006              ?                        2006   The State after Statism: New State Activities in the Age of Li
statonvanberg2008                  Staton                   2008   The Value of Vagueness: Delegation, Defiance, and Judicial Opi
stavrakakis2017                    Stavrakakis              2017   Discourse theory in populism research: Three challenges and a 
steinberg2019                      Steinberg                2019   Mines, Communities, and States: The Local Politics of Natural 
steinbickers1994                   Stein                    1994   Universalism and the Electoral Connection: A Test and Some Dou
sternetal2002                      Stern                    2002   Crisis Management in Transitional Democracies: The Baltic Expe
stevensonduch2013                  Stevenson                2013   The meaning and use of subjective perceptions in studies of ec
stokes1963                         Stokes                   1963   Spatial Models of Party Competition
stone2020                          Stone                    2020   United Methodist Schism and the ‘Protocol’ of 2020
stone2021                          Stone                    2021   Democracy in Ireland: Theory and Practice
stormingwallclimatend              ?                        ----   Storming the Wall : Climate Change, Migration, and Homeland Se
strom1990                          Strom                    1990   A Behavioral Theory of Competitive Political Parties
sugden1989                         Sugden                   1989   Spontaneous Order
suiterflynn2021                    Suiter                   2021   C34Irish Media and the Shaping of Political Discourse
sullivanetal1981                   Sullivan                 1981   The Sources of Political Tolerance: A Multivariate Analysis
sultan2020                         Sultan                   2020   Self-Rule and the Problem of Peoplehood in Colonial India
suryanarayannd                     Suryanarayan             ----   Endogenous State Capacity
tabellini1991                      Tabellini                1991   The Politics of Intergenerational Redistribution
taberlodge2006                     Taber                    2006   Motivated Skepticism in the Evaluation of Political Beliefs
tajfel1982                         Tajfel                   1982   Social Psychology of Intergroup Relations
taylorsingleton1993                Taylor                   1993   The Communal Resource: Transaction Costs and the Solution of C
tellisetal2023                     Tellis                   2023   Lockdown Without Loss? A Natural Experiment of Net Payoffs fro
thiemend                           Thieme                   ----   Economic Decline and Climate Trade-Offs: Voter Behavior and Gr
thinkingaboutpoliticalnd           ?                        ----   Thinking About Political Psychology
thomasetal1994                     Thomas                   1994   The characteristics of northern black churches with community 
thompson2016                       Thompson                 2016   The Making of the English Working Class
tietjen2023                        Tietjen                  2023   The Affects of Populism
ting2021                           Ting                     2021   The Political Economy of Governance Quality
ting2021a                          Ting                     2021   The Political Economy of Governance Quality
tonra2021                          Tonra                    2021   C10Foreign, Security, and Defence Policy
treisman2020                       Treisman                 2020   Democracy by Mistake: How the Errors of Autocrats Trigger Tran
trumpleavestrail2020               ?                        2020   Trump leaves trail of unmet promises in coronavirus response
tsebelis1999                       Tsebelis                 1999   Veto Players and Law Production in Parliamentary Democracies: 
tsingou2015                        Tsingou                  2015   Transnational Veto Players and the Practice of Financial Refor
ubsnd                              UBS                      ----   UBS Global Wealth Report 2024 household wealth and prosperity 
umcnd                              UMC                      ----   About Us
universitycollegedublinearnd       University College Dub   ----   Ireland’s largest parties receive failing grade for climate po
universitynd                       University               ----   Chernobyl and USSR
untitledmapnd                      ?                        ----   Untitled map
urbinati2019                       Urbinati                 2019   Political Theory of Populism
uscglobalhealth2016                uscglobalhealth          2016   New report examines financial costs of the Chernobyl nuclear p
vandereijketal2007                 Van Der Eijk             2007   The Endogenous Economy: ‘Real’ Economic Conditions, Subjective
vanhieletal2016                    Van Hiel                 2016   The Relationship between Right–wing Attitudes and Cognitive St
varleycurtin2002                   Varley                   2002   Communitarian populism and the politics of rearguard resistanc
vonneumannmorgenstern1944          Von Neumann              1944   Theory of games and economic behavior
wahmanetal2021                     Wahman                   2021   From Thin to Thick Representation: How a Female President Shap
walshwhelan2021                    Walsh                    2021   C11The Changing Nature of Irish International Development Poli
warburton1945                      Warburton                1945   The Monetary Theory of Deficit Spending
wavelandpressliberalismnd          ?                        ----   Waveland Press - Liberalism against Populism - A Confrontation
weeks2021                          Weeks                    2021   C31Independents and the Party System
weilandhaberman2020                Weiland                  2020   For Dr. Deborah Birx, Urging Calm Has Come With Heavy Criticis
weingast1994                       Weingast                 1994   Reflections on Distributive Politics and Universalism
wewerinkesingh2018                 Wewerinke-Singh          2018   Climate Migrants’ Right To Enjoy Their Culture
weyland2017                        Weyland                  2017   Populism: A Political-Strategic Approach
wiedemann2024                      Wiedemann                2024   The Electoral Consequences of Household Indebtedness under Aus
williams1941                       Williams                 1941   Deficit Spending
wilson1911                         Wilson                   1911   The Church and the Rural Community
wintterlinetal2023                 Wintterlin               2023   “It’s us against them up there”: Spreading online disinformati
wolfdron2015                       Wolf                     2015   Intergenerational sharing of non-renewable resources: An exper
wongjensen2020                     Wong                     2020   The paradox of trust: perceived risk and public compliance dur
wrightetal2020                     Wright                   2020   What predicts adherence to COVID-19 government guidelines? Lon
wuttkeetal2020                     Wuttke                   2020   When the Whole Is Greater than the Sum of Its Parts: On the Co
yeatmantrinitapoli2008             Yeatman                  2008   Beyond Denomination: The Relationship between Religion and Fam
yoder2020                          Yoder                    2020   Does Property Ownership Lead to Participation in Local Politic
zajonc1980                         Zajonc                   1980   Feeling and thinking: Preferences need no inferences
zellentin2021                      Zellentin                2021   C5Education for Citizenship in a Changing Country
zhangetal2025                      Zhang                    2025   Efficient tree species classification using machine and deep l
